mixbench (v0.04-13-g597b700)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 2080 Ti
CUDA driver version: 12.70
GPU clock rate:      1545 MHz
Memory clock rate:   3500 MHz
Memory bus width:    352 bits
WarpSize:            32
L2 cache size:       5632 KB
Total global mem:    22001 MB
ECC enabled:         No
Compute Capability:  7.5
Total SPs:           4352 (68 MPs x 64 SPs/MP)
Compute throughput:  13447.68 GFlops (theoretical single precision FMAs)
Memory bandwidth:    616.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 23070179328, free 22233284608
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
           24,     12.250,    0.25, 6566.16, 536.01,      6.125,    5.44,  302.01,  49.31,     24.500,    0.28,11890.82, 485.34,    12.250,    0.30, 5431.89, 443.42
           28,     14.250,    0.25, 7582.95, 532.14,      7.125,    6.76,  282.90,  39.71,     28.500,    0.24,15695.60, 550.72,    14.250,    0.30, 6359.74, 446.30
           32,     16.250,    0.24, 8949.24, 550.72,      8.125,    8.84,  246.80,  30.38,     32.500,    0.24,17846.93, 549.14,    16.250,    0.31, 6973.34, 429.13
           40,     20.250,    0.26,10287.63, 508.03,     10.125,   11.06,  245.63,  24.26,     40.500,    0.29,18741.10, 462.74,    20.250,    0.34, 7911.94, 390.71
           48,     24.250,    0.31,10661.62, 439.65,     12.125,    8.54,  380.94,  31.42,     48.500,    0.29,22637.85, 466.76,    24.250,    0.30,10695.25, 441.04
           56,     28.250,    0.28,13334.36, 472.01,     14.125,    9.63,  393.92,  27.89,     56.500,    0.31,24674.95, 436.72,    28.250,    0.33,11518.33, 407.73
           64,     32.250,    0.33,13209.60, 409.60,     16.125,   10.56,  409.76,  25.41,     64.500,    0.36,24176.28, 374.83,    32.250,    0.36,12110.87, 375.53
           80,     40.250,    0.38,14173.51, 352.14,     20.125,   13.21,  409.00,  20.32,     80.500,    0.42,25896.72, 321.70,    40.250,    0.43,12481.20, 310.09
           96,     48.250,    0.45,14380.39, 298.04,     24.125,   17.67,  366.58,  15.20,     96.500,    0.49,26619.56, 275.85,    48.250,    0.49,13330.82, 276.29
          128,     64.250,    0.60,14468.16, 225.19,     32.125,   22.99,  375.18,  11.68,    128.500,    0.64,26999.70, 210.11,    64.250,    0.63,13770.97, 214.33
          192,     96.250,    0.88,14655.55, 152.27,     48.125,   31.74,  406.99,   8.46,    192.500,    1.14,22610.01, 117.45,    96.250,    0.91,14260.54, 148.16
          256,    128.250,    1.15,14988.84, 116.87,     64.125,   43.11,  399.31,   6.23,    256.500,    1.40,24648.07,  96.09,   128.250,    1.19,14412.55, 112.38
          512,    256.250,    2.24,15378.75,  60.01,    128.125,   86.15,  399.21,   3.12,    512.500,    2.50,27537.19,  53.73,   256.250,    2.35,14627.38,  57.08
         1024,    512.250,    5.31,12956.70,  25.29,    256.125,  176.28,  390.03,   1.52,   1024.500,    4.61,29832.44,  29.12,   512.250,    4.68,14675.17,  28.65
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
