mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3060 Ti
CUDA driver version: 12.30
GPU clock rate:      1845 MHz
Memory clock rate:   3500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    7973 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           4864 (38 MPs x 128 SPs/MP)
Compute throughput:  17948.16 GFlops (theoretical single precision FMAs)
Memory bandwidth:    448.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8360755200, free 8217362432
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
            9,      4.750,    0.32, 1965.17, 413.72,      2.375,    2.74,  232.83,  98.03,      9.500,    0.33, 3912.21, 411.81,     4.750,    0.33, 1939.54, 408.32
           10,      5.250,    0.32, 2184.53, 416.10,      2.625,    3.02,  233.18,  88.83,     10.500,    0.33, 4274.09, 407.06,     5.250,    0.34, 2083.46, 396.85
           11,      5.750,    0.33, 2370.01, 412.18,      2.875,    3.31,  233.19,  81.11,     11.500,    0.33, 4740.03, 412.18,     5.750,    0.33, 2341.48, 407.21
           12,      6.250,    0.32, 2600.63, 416.10,      3.125,    3.59,  233.52,  74.73,     12.500,    0.33, 5109.52, 408.76,     6.250,    0.33, 2536.47, 405.83
           13,      6.750,    0.32, 2799.80, 414.78,      3.375,    3.88,  233.69,  69.24,     13.500,    0.33, 5512.37, 408.32,     6.750,    0.33, 2739.12, 405.80
           14,      7.250,    0.32, 3010.17, 415.20,      3.625,    4.16,  233.83,  64.50,     14.500,    0.33, 5976.55, 412.18,     7.250,    0.33, 2944.87, 406.19
           15,      7.750,    0.32, 3224.79, 416.10,      3.875,    4.45,  233.95,  60.37,     15.500,    0.33, 6368.70, 410.88,     7.750,    0.33, 3144.92, 405.80
           16,      8.250,    0.32, 3421.97, 414.78,      4.125,    4.73,  234.06,  56.74,     16.500,    0.33, 6737.35, 408.32,     8.250,    0.33, 3344.26, 405.36
           17,      8.750,    0.32, 3617.92, 413.48,      4.375,    5.02,  234.10,  53.51,     17.500,    0.33, 7029.34, 401.68,     8.750,    0.33, 3528.86, 403.30
           18,      9.250,    0.32, 3827.30, 413.76,      4.625,    5.30,  234.23,  50.64,     18.500,    0.33, 7415.39, 400.83,     9.250,    0.33, 3707.69, 400.83
           20,     10.250,    0.32, 4238.13, 413.48,      5.125,    5.87,  234.38,  45.73,     20.500,    0.33, 8296.34, 404.70,    10.250,    0.34, 4096.00, 399.61
           22,     11.250,    0.33, 4624.26, 411.05,      5.625,    6.44,  234.32,  41.66,     22.500,    0.33, 9044.65, 401.98,    11.250,    0.34, 4473.45, 397.64
           24,     12.250,    0.33, 5049.16, 412.18,      6.125,    7.02,  234.33,  38.26,     24.500,    0.33, 9945.84, 405.95,    12.250,    0.34, 4850.85, 395.99
           28,     14.250,    0.33, 5874.09, 412.22,      7.125,    8.15,  234.56,  32.92,     28.500,    0.34,11184.29, 392.43,    14.250,    0.34, 5558.86, 390.10
           32,     16.250,    0.33, 6676.86, 410.88,      8.125,    9.29,  234.68,  28.88,     32.500,    0.34,12987.32, 399.61,    16.250,    0.35, 6173.68, 379.92
           40,     20.250,    0.33, 8349.03, 412.30,     10.125,   11.57,  234.89,  23.20,     40.500,    0.35,15476.43, 382.13,    20.250,    0.39, 6930.61, 342.25
           48,     24.250,    0.33, 9963.94, 410.88,     12.125,   13.85,  235.05,  19.39,     48.500,    0.40,16216.82, 334.37,    24.250,    0.45, 7273.45, 299.94
           56,     28.250,    0.33,11535.15, 408.32,     14.125,   16.13,  235.03,  16.64,     56.500,    0.46,16463.68, 291.39,    28.250,    0.51, 7388.02, 261.52
           64,     32.250,    0.33,13168.45, 408.32,     16.125,   18.40,  235.22,  14.59,     64.500,    0.52,16578.78, 257.04,    32.250,    0.58, 7446.12, 230.89
           80,     40.250,    0.35,15471.11, 384.38,     20.125,   22.96,  235.29,  11.69,     80.500,    0.65,16668.71, 207.06,    40.250,    0.72, 7536.64, 187.25
           96,     48.250,    0.40,16257.65, 336.95,     24.125,   27.52,  235.35,   9.76,     96.500,    0.78,16642.69, 172.46,    48.250,    0.83, 7827.01, 162.22
          128,     64.250,    0.49,17547.96, 273.12,     32.125,   34.65,  248.84,   7.75,    128.500,    0.96,17879.78, 139.14,    64.250,    1.07, 8066.69, 125.55
          192,     96.250,    0.75,17279.53, 179.53,     48.125,   51.90,  248.92,   5.17,    192.500,    1.45,17793.63,  92.43,    96.250,    1.59, 8144.40,  84.62
          256,    128.250,    0.98,17583.67, 137.10,     64.125,   69.14,  248.98,   3.88,    256.500,    1.89,18212.33,  71.00,   128.250,    2.10, 8180.04,  63.78
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
