mixbench-hip (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              AMD Radeon Graphics
CUDA driver version: 50631.62
GPU clock rate:      2700 MHz
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    1024 MB
Total SPs:           384 (6 MPs x 64 SPs/MP)
Compute throughput:  2073.60 GFlops (theoretical single precision FMAs)
Memory bandwidth:    25.60 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1073741824, free 981467136
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
           32,     16.250,    1.64, 1328.58,  81.76,     16.250,    3.21, 1359.35,  83.65,      8.125,   16.87,  129.31,  15.91,     32.500,    1.65, 2646.64,  81.43,    16.250,    2.50,  871.59,  53.64
           40,     20.250,    1.63, 1668.45,  82.39,     20.250,    3.20, 1699.90,  83.95,     10.125,   20.90,  130.06,  12.85,     40.500,    1.63, 3334.11,  82.32,    20.250,    3.11,  875.06,  43.21
           48,     24.250,    1.64, 1983.63,  81.80,     24.250,    3.19, 2042.03,  84.21,     12.125,   24.99,  130.23,  10.74,     48.500,    1.62, 4030.45,  83.10,    24.250,    3.75,  868.71,  35.82
           56,     28.250,    1.63, 2323.59,  82.25,     28.250,    3.17, 2393.39,  84.72,     14.125,   29.05,  130.53,   9.24,     56.500,    1.63, 4650.83,  82.32,    28.250,    4.33,  875.66,  31.00
           64,     32.250,    1.68, 2574.75,  79.84,     32.250,    3.23, 2676.75,  83.00,     16.125,   33.23,  130.25,   8.08,     64.500,    1.71, 5076.65,  78.71,    32.250,    4.85,  892.48,  27.67
           80,     40.250,    1.81, 2987.68,  74.23,     40.250,    3.17, 3411.05,  84.75,     20.125,   41.47,  130.27,   6.47,     80.500,    1.77, 6114.82,  75.96,    40.250,    6.00,  900.58,  22.37
           96,     48.250,    1.99, 3257.61,  67.52,     48.250,    3.74, 3463.63,  71.79,     24.125,   49.65,  130.44,   5.41,     96.500,    1.91, 6771.59,  70.17,    48.250,    7.24,  894.05,  18.53
          128,     64.250,    2.51, 3435.34,  53.47,     64.250,    4.88, 3537.83,  55.06,     32.125,   65.93,  130.79,   4.07,    128.500,    2.41, 7168.35,  55.78,    64.250,    9.71,  887.66,  13.82
          256,    128.250,    4.74, 3633.15,  28.33,    128.250,    9.48, 3630.12,  28.31,     64.125,  131.71,  130.69,   2.04,    256.500,    4.82, 7146.90,  27.86,   128.250,   19.03,  904.72,   7.05
          512,    256.250,    9.26, 3714.82,  14.50,    256.250,   18.61, 3696.92,  14.43,    128.125,  262.71,  130.92,   1.02,    512.500,    9.45, 7277.18,  14.20,   256.250,   37.76,  910.86,   3.55
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
