mixbench-hip (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 6700 XT
CUDA driver version: 50631.62
GPU clock rate:      2855 MHz
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    12272 MB
Total SPs:           1280 (20 MPs x 64 SPs/MP)
Compute throughput:  7308.80 GFlops (theoretical single precision FMAs)
Memory bandwidth:    48.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12868124672, free 12809404416
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
            9,      4.750,    0.33, 1923.07, 404.86,      4.750,    0.71, 1799.42, 378.83,      2.375,    0.83,  768.52, 323.59,      9.500,    0.33, 3846.59, 404.90,     4.750,    0.33, 1903.77, 400.79
           10,      5.250,    0.33, 2126.78, 405.10,      5.250,    0.71, 1988.16, 378.70,      2.625,    0.91,  774.98, 295.23,     10.500,    0.33, 4248.42, 404.61,     5.250,    0.34, 2099.16, 399.84
           11,      5.750,    0.33, 2329.04, 405.05,      5.750,    0.71, 2176.16, 378.46,      2.875,    0.99,  783.28, 272.45,     11.500,    0.33, 4656.40, 404.90,     5.750,    0.34, 2286.00, 397.57
           12,      6.250,    0.33, 2532.18, 405.15,      6.250,    0.71, 2366.99, 378.72,      3.125,    1.06,  788.40, 252.29,     12.500,    0.33, 5057.66, 404.61,     6.250,    0.34, 2466.66, 394.67
           13,      6.750,    0.33, 2735.75, 405.30,      6.750,    0.71, 2556.21, 378.70,      3.375,    1.14,  797.09, 236.17,     13.500,    0.33, 5476.78, 405.69,     6.750,    0.34, 2626.00, 389.04
           14,      7.250,    0.33, 2938.05, 405.25,      7.250,    0.71, 2743.38, 378.40,      3.625,    1.21,  802.84, 221.47,     14.500,    0.33, 5878.92, 405.44,     7.250,    0.35, 2742.00, 378.21
           15,      7.750,    0.33, 3140.67, 405.25,      7.750,    0.71, 2933.08, 378.46,      3.875,    1.29,  805.20, 207.79,     15.500,    0.33, 6267.72, 404.37,     7.750,    0.37, 2818.63, 363.69
           16,      8.250,    0.33, 3343.70, 405.30,      8.250,    0.71, 3117.39, 377.87,      4.125,    1.37,  807.92, 195.86,     16.500,    0.33, 6680.12, 404.86,     8.250,    0.39, 2868.06, 347.64
           17,      8.750,    0.33, 3536.10, 404.13,      8.750,    0.71, 3306.88, 377.93,      4.375,    1.45,  811.41, 185.47,     17.500,    0.33, 7076.46, 404.37,     8.750,    0.40, 2906.37, 332.16
           18,      9.250,    0.33, 3747.19, 405.10,      9.250,    0.71, 3497.23, 378.08,      4.625,    1.53,  813.83, 175.96,     18.500,    0.33, 7486.22, 404.66,     9.250,    0.42, 2936.14, 317.42
           20,     10.250,    0.33, 4162.83, 406.13,     10.250,    0.71, 3872.03, 377.76,      5.125,    1.68,  816.96, 159.41,     20.500,    0.33, 8299.56, 404.86,    10.250,    0.46, 2978.29, 290.56
           22,     11.250,    0.33, 4554.64, 404.86,     11.250,    0.71, 4249.31, 377.72,      5.625,    1.84,  819.79, 145.74,     22.500,    0.33, 9044.86, 401.99,    11.250,    0.50, 3010.03, 267.56
           24,     12.250,    0.33, 4961.28, 405.00,     12.250,    0.71, 4628.33, 377.82,      6.125,    2.00,  821.66, 134.15,     24.500,    0.33, 9910.59, 404.51,    12.250,    0.54, 3033.52, 247.63
           28,     14.250,    0.33, 5767.80, 404.76,     14.250,    0.71, 5383.37, 377.78,      7.125,    2.32,  824.71, 115.75,     28.500,    0.33,11536.99, 404.81,    14.250,    0.62, 3070.19, 215.45
           32,     16.250,    0.33, 6563.86, 403.93,     16.250,    0.71, 6141.00, 377.91,      8.125,    2.64,  826.43, 101.71,     32.500,    0.33,13108.78, 403.35,    16.250,    0.70, 3095.95, 190.52
           40,     20.250,    0.34, 8113.16, 400.65,     20.250,    0.71, 7648.33, 377.70,     10.125,    3.28,  827.82,  81.76,     40.500,    0.34,16222.45, 400.55,    20.250,    0.87, 3128.20, 154.48
           48,     24.250,    0.34, 9640.94, 397.56,     24.250,    0.71, 9163.22, 377.86,     12.125,    3.92,  830.01,  68.45,     48.500,    0.34,19238.56, 396.67,    24.250,    1.03, 3154.22, 130.07
           56,     28.250,    0.35,10905.58, 386.04,     28.250,    0.71,10655.49, 377.19,     14.125,    4.56,  831.52,  58.87,     56.500,    0.35,21436.29, 379.40,    28.250,    1.20, 3170.28, 112.22
           64,     32.250,    0.38,11424.49, 354.25,     32.250,    0.71,12132.17, 376.19,     16.125,    5.20,  832.07,  51.60,     64.500,    0.39,22436.87, 347.86,    32.250,    1.37, 3164.58,  98.13
           80,     40.250,    0.45,11909.73, 295.89,     40.250,    0.87,12425.84, 308.72,     20.125,    6.50,  830.68,  41.28,     80.500,    0.48,22303.13, 277.06,    40.250,    1.70, 3183.57,  79.09
           96,     48.250,    0.53,12165.62, 252.14,     48.250,    1.03,12531.93, 259.73,     24.125,    7.78,  832.01,  34.49,     96.500,    0.55,23564.53, 244.19,    48.250,    2.03, 3192.80,  66.17
          128,     64.250,    0.70,12368.05, 192.50,     64.250,    1.36,12675.65, 197.29,     32.125,   10.34,  833.72,  25.95,    128.500,    0.70,24513.87, 190.77,    64.250,    2.69, 3206.95,  49.91
          256,    128.250,    1.35,12740.51,  99.34,    128.250,    2.68,12861.40, 100.28,     64.125,   20.59,  836.06,  13.04,    256.500,    1.36,25381.08,  98.95,   128.250,    5.33, 3229.01,  25.18
          512,    256.250,    2.66,12928.27,  50.45,    256.250,    5.30,12970.98,  50.62,    128.125,   41.08,  837.20,   6.53,    512.500,    2.67,25753.15,  50.25,   256.250,   10.62, 3237.56,  12.63
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
