mixbench-hip (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 6600 XT
CUDA driver version: 60032.831
GPU clock rate:      2900 MHz
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    8176 MB
Total SPs:           2048 (16 MPs x 128 SPs/MP)
Compute throughput:  11878.40 GFlops (theoretical single precision FMAs)
Memory bandwidth:    32.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8573157376, free 8539602944
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
            9,      4.750,    0.54, 1188.54, 250.22,      4.750,    1.07, 1196.53, 251.90,      2.375,    1.07,  595.78, 250.86,      9.500,    0.54, 2374.43, 249.94,     4.750,    0.54, 1188.90, 250.29
           10,      5.250,    0.54, 1313.46, 250.18,      5.250,    1.06, 1333.14, 253.93,      2.625,    1.10,  639.84, 243.75,     10.500,    0.54, 2630.06, 250.48,     5.250,    0.54, 1313.26, 250.15
           11,      5.750,    0.54, 1438.87, 250.24,      5.750,    1.06, 1450.39, 252.24,      2.875,    1.20,  641.48, 223.12,     11.500,    0.54, 2879.68, 250.41,     5.750,    0.54, 1436.41, 249.81
           12,      6.250,    0.54, 1566.33, 250.61,      6.250,    1.07, 1573.91, 251.83,      3.125,    1.30,  644.17, 206.13,     12.500,    0.54, 3132.42, 250.59,     6.250,    0.54, 1561.89, 249.90
           13,      6.750,    0.53, 1693.40, 250.87,      6.750,    1.06, 1701.54, 252.08,      3.375,    1.40,  649.09, 192.32,     13.500,    0.54, 3384.03, 250.67,     6.750,    0.54, 1687.10, 249.94
           14,      7.250,    0.54, 1815.04, 250.35,      7.250,    1.06, 1840.72, 253.89,      3.625,    1.49,  654.36, 180.51,     14.500,    0.54, 3636.32, 250.78,     7.250,    0.54, 1810.72, 249.75
           15,      7.750,    0.53, 1944.57, 250.91,      7.750,    1.06, 1955.83, 252.37,      3.875,    1.58,  658.91, 170.04,     15.500,    0.54, 3881.60, 250.43,     7.750,    0.54, 1936.46, 249.87
           16,      8.250,    0.54, 2064.93, 250.29,      8.250,    1.06, 2080.68, 252.20,      4.125,    1.67,  663.50, 160.85,     16.500,    0.54, 4136.65, 250.71,     8.250,    0.54, 2058.48, 249.51
           17,      8.750,    0.54, 2193.51, 250.69,      8.750,    1.06, 2205.54, 252.06,      4.375,    1.76,  666.50, 152.34,     17.500,    0.54, 4382.77, 250.44,     8.750,    0.54, 2184.70, 249.68
           18,      9.250,    0.53, 2323.20, 251.16,      9.250,    1.06, 2333.42, 252.26,      4.625,    1.86,  668.92, 144.63,     18.500,    0.53, 4641.53, 250.89,     9.250,    0.54, 2306.96, 249.40
           20,     10.250,    0.54, 2566.86, 250.43,     10.250,    1.06, 2589.18, 252.60,      5.125,    2.04,  672.77, 131.27,     20.500,    0.54, 5139.86, 250.72,    10.250,    0.56, 2456.84, 239.69
           22,     11.250,    0.54, 2818.76, 250.56,     11.250,    1.06, 2838.79, 252.34,      5.625,    2.24,  675.35, 120.06,     22.500,    0.54, 5642.99, 250.80,    11.250,    0.61, 2478.09, 220.27
           24,     12.250,    0.54, 3067.48, 250.41,     12.250,    1.07, 3085.67, 251.89,      6.125,    2.43,  677.55, 110.62,     24.500,    0.54, 6144.59, 250.80,    12.250,    0.66, 2505.90, 204.56
           28,     14.250,    0.54, 3571.49, 250.63,     14.250,    1.07, 3588.38, 251.82,      7.125,    2.81,  681.11,  95.59,     28.500,    0.53, 7155.81, 251.08,    14.250,    0.75, 2546.47, 178.70
           32,     16.250,    0.54, 4065.16, 250.16,     16.250,    1.07, 4094.16, 251.95,      8.125,    3.19,  683.29,  84.10,     32.500,    0.54, 8151.58, 250.82,    16.250,    0.85, 2578.67, 158.69
           40,     20.250,    0.54, 5077.18, 250.72,     20.250,    1.06, 5114.24, 252.56,     10.125,    3.97,  685.21,  67.67,     40.500,    0.54,10139.96, 250.37,    20.250,    1.04, 2619.22, 129.34
           48,     24.250,    0.54, 6060.60, 249.92,     24.250,    1.06, 6119.63, 252.36,     12.125,    4.74,  686.98,  56.66,     48.500,    0.54,12144.72, 250.41,    24.250,    1.23, 2640.84, 108.90
           56,     28.250,    0.53, 7087.21, 250.87,     28.250,    1.07, 7118.08, 251.97,     14.125,    5.51,  688.45,  48.74,     56.500,    0.53,14177.60, 250.93,    28.250,    1.43, 2659.54,  94.14
           64,     32.250,    0.54, 8089.50, 250.84,     32.250,    1.06, 8140.63, 252.42,     16.125,    6.28,  689.23,  42.74,     64.500,    0.53,16199.59, 251.16,    32.250,    1.62, 2664.69,  82.63
           80,     40.250,    0.56, 9675.25, 240.38,     40.250,    1.06,10159.62, 252.41,     20.125,    7.85,  688.59,  34.22,     80.500,    0.59,18280.57, 227.09,    40.250,    2.01, 2681.08,  66.61
           96,     48.250,    0.65, 9993.23, 207.11,     48.250,    1.23,10542.11, 218.49,     24.125,    9.39,  689.68,  28.59,     96.500,    0.66,19700.70, 204.15,    48.250,    2.41, 2691.39,  55.78
          128,     64.250,    0.83,10338.94, 160.92,     64.250,    1.62,10662.89, 165.96,     32.125,   12.48,  690.79,  21.50,    128.500,    0.84,20504.80, 159.57,    64.250,    3.19, 2701.80,  42.05
          256,    128.250,    1.61,10699.30,  83.43,    128.250,    3.18,10827.71,  84.43,     64.125,   24.86,  692.51,  10.80,    256.500,    1.62,21314.33,  83.10,   128.250,    6.33, 2720.19,  21.21
          512,    256.250,    3.17,10851.01,  42.35,    256.250,    6.31,10909.80,  42.57,    128.125,   49.60,  693.43,   5.41,    512.500,    3.18,21663.47,  42.27,   256.250,   12.60, 2729.08,  10.65
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
