mixbench (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3080 Ti
CUDA driver version: 12.40
GPU clock rate:      1665 MHz
Memory clock rate:   4750 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    11825 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           10240 (80 MPs x 128 SPs/MP)
Compute throughput:  34099.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    912.10 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12399476736, free 11500781568
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
           13,      6.750,    0.17, 5461.33, 809.09,      3.375,    2.08,  435.40, 129.01,     13.500,    0.17,10724.07, 794.38,     6.750,    0.17, 5266.29, 780.19
           14,      7.250,    0.17, 5829.89, 804.12,      3.625,    2.23,  436.94, 120.54,     14.500,    0.17,11449.06, 789.59,     7.250,    0.17, 5622.91, 775.57
           15,      7.750,    0.17, 6231.95, 804.12,      3.875,    2.38,  437.47, 112.90,     15.500,    0.17,12312.82, 794.38,     7.750,    0.17, 5975.34, 771.01
           16,      8.250,    0.17, 6674.96, 809.09,      4.125,    2.53,  437.79, 106.13,     16.500,    0.17,13028.24, 789.59,     8.250,    0.17, 6398.48, 775.57
           17,      8.750,    0.17, 7079.51, 809.09,      4.375,    2.68,  437.74, 100.05,     17.500,    0.17,13735.09, 784.86,     8.750,    0.18, 6710.58, 766.92
           18,      9.250,    0.17, 7484.05, 809.09,      4.625,    2.83,  438.01,  94.71,     18.500,    0.17,14263.72, 771.01,     9.250,    0.17, 7131.86, 771.01
           20,     10.250,    0.17, 8248.58, 804.74,      5.125,    3.14,  438.33,  85.53,     20.500,    0.17,15993.90, 780.19,    10.250,    0.18, 7856.65, 766.50
           22,     11.250,    0.17, 9046.38, 804.12,      5.625,    3.44,  438.74,  78.00,     22.500,    0.18,17056.18, 758.05,    11.250,    0.18, 8568.35, 761.63
           24,     12.250,    0.17, 9799.78, 799.98,      6.125,    3.75,  438.70,  71.62,     24.500,    0.18,18142.74, 740.52,    12.250,    0.18, 9227.77, 753.29
           28,     14.250,    0.17,11388.88, 799.22,      7.125,    4.35,  439.27,  61.65,     28.500,    0.18,20869.01, 732.25,    14.250,    0.18,10552.41, 740.52
           32,     16.250,    0.17,12830.84, 789.59,      8.125,    4.97,  439.25,  54.06,     32.500,    0.19,22538.84, 693.50,    16.250,    0.19,11340.67, 697.89
           40,     20.250,    0.17,16086.11, 794.38,     10.125,    6.18,  439.88,  43.44,     40.500,    0.20,27504.75, 679.13,    20.250,    0.22,12345.15, 609.64
           48,     24.250,    0.18,18162.83, 748.98,     12.125,    7.40,  439.92,  36.28,     48.500,    0.23,27881.54, 574.88,    24.250,    0.25,13080.23, 539.39
           56,     28.250,    0.17,21909.96, 775.57,     14.125,    8.61,  440.39,  31.18,     56.500,    0.27,28373.82, 502.19,    28.250,    0.29,13224.23, 468.11
           64,     32.250,    0.17,25012.26, 775.57,     16.125,    9.67,  447.78,  27.77,     64.500,    0.26,33284.03, 516.03,    32.250,    0.28,15483.78, 480.12
           80,     40.250,    0.18,30325.26, 753.42,     20.125,   10.63,  508.20,  25.25,     80.500,    0.34,31590.71, 392.43,    40.250,    0.34,15707.18, 390.24
           96,     48.250,    0.20,32599.09, 675.63,     24.125,   12.74,  508.17,  21.06,     96.500,    0.39,33373.21, 345.84,    48.250,    0.41,15970.26, 330.99
          128,     64.250,    0.26,33576.38, 522.59,     32.125,   16.96,  508.54,  15.83,    128.500,    0.51,33551.30, 261.10,    64.250,    0.53,16134.84, 251.13
          192,     96.250,    0.39,32754.71, 340.31,     48.125,   25.40,  508.70,  10.57,    192.500,    0.77,33734.58, 175.24,    96.250,    0.79,16341.55, 169.78
          256,    128.250,    0.50,34306.09, 267.49,     64.125,   33.82,  508.98,   7.94,    256.500,    0.97,35659.23, 139.02,   128.250,    1.04,16496.55, 128.63
          512,    256.250,    0.97,35392.20, 138.12,    128.125,   67.55,  509.18,   3.97,    512.500,    1.85,37133.44,  72.46,   256.250,    2.06,16660.32,  65.02
         1024,    512.250,    1.89,36333.28,  70.93,    256.125,  131.02,  524.74,   2.05,   1024.500,    3.52,39104.04,  38.17,   512.250,    3.97,17304.54,  33.78
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
