mixbench-hip (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 7800 XT
CUDA driver version: 60140.93
GPU clock rate:      2254 MHz
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    16368 MB
Total SPs:           3840 (30 MPs x 128 SPs/MP)
Compute throughput:  17310.72 GFlops (theoretical single precision FMAs)
Memory bandwidth:    77.95 GB/sec
-----------------------------------------------------------------------
Total GPU memory 17163091968, free 16961765376
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
            9,      4.750,    0.22, 2867.67, 603.72,      4.750,    0.44, 2897.65, 610.03,      2.375,    1.07,  594.23, 250.20,      9.500,    0.22, 5725.04, 602.64,     4.750,    0.22, 2862.00, 602.53
           10,      5.250,    0.22, 3160.43, 601.99,      5.250,    0.44, 3198.87, 609.31,      2.625,    1.18,  596.23, 227.14,     10.500,    0.22, 6337.89, 603.61,     5.250,    0.22, 3161.00, 602.09
           11,      5.750,    0.22, 3464.53, 602.53,      5.750,    0.44, 3523.69, 612.82,      2.875,    1.29,  597.95, 207.98,     11.500,    0.22, 6934.04, 602.96,     5.750,    0.22, 3465.14, 602.63
           12,      6.250,    0.22, 3775.29, 604.05,      6.250,    0.44, 3811.31, 609.81,      3.125,    1.40,  599.28, 191.77,     12.500,    0.22, 7541.07, 603.29,     6.250,    0.22, 3766.45, 602.63
           13,      6.750,    0.22, 4069.25, 602.85,      6.750,    0.44, 4115.45, 609.70,      3.375,    1.51,  600.06, 177.80,     13.500,    0.22, 8148.75, 603.61,     6.750,    0.22, 4036.61, 598.02
           14,      7.250,    0.22, 4374.61, 603.39,      7.250,    0.44, 4417.90, 609.37,      3.625,    1.62,  600.98, 165.79,     14.500,    0.22, 8753.89, 603.72,     7.250,    0.24, 4132.35, 569.98
           15,      7.750,    0.22, 4671.26, 602.74,      7.750,    0.44, 4730.74, 610.42,      3.875,    1.73,  601.60, 155.25,     15.500,    0.22, 9340.85, 602.64,     7.750,    0.25, 4191.63, 540.86
           16,      8.250,    0.22, 4969.06, 602.31,      8.250,    0.44, 5025.90, 609.20,      4.125,    1.84,  602.27, 146.00,     16.500,    0.22, 9961.37, 603.72,     8.250,    0.26, 4238.65, 513.78
           17,      8.750,    0.22, 5279.70, 603.39,      8.750,    0.44, 5323.72, 608.43,      4.375,    1.95,  602.68, 137.76,     17.500,    0.22,10565.09, 603.72,     8.750,    0.27, 4287.43, 489.99
           18,      9.250,    0.22, 5585.41, 603.83,      9.250,    0.44, 5632.02, 608.87,      4.625,    2.06,  603.34, 130.45,     18.500,    0.22,11166.80, 603.61,     9.250,    0.29, 4327.07, 467.79
           20,     10.250,    0.22, 6187.01, 603.61,     10.250,    0.44, 6240.33, 608.81,      5.125,    2.28,  604.41, 117.93,     20.500,    0.22,12367.35, 603.29,    10.250,    0.31, 4403.21, 429.58
           22,     11.250,    0.22, 6794.29, 603.94,     11.250,    0.44, 6864.72, 610.20,      5.625,    2.50,  604.92, 107.54,     22.500,    0.22,13583.63, 603.72,    11.250,    0.34, 4447.87, 395.37
           24,     12.250,    0.22, 7387.59, 603.07,     12.250,    0.44, 7462.02, 609.14,      6.125,    2.72,  604.90,  98.76,     24.500,    0.22,14815.12, 604.70,    12.250,    0.37, 4494.75, 366.92
           28,     14.250,    0.22, 8587.51, 602.63,     14.250,    0.44, 8672.42, 608.59,      7.125,    3.16,  606.06,  85.06,     28.500,    0.22,17171.95, 602.52,    14.250,    0.42, 4553.41, 319.54
           32,     16.250,    0.22, 9798.10, 602.96,     16.250,    0.44, 9894.99, 608.92,      8.125,    3.60,  606.66,  74.67,     32.500,    0.22,19567.99, 602.09,    16.250,    0.47, 4594.40, 282.73
           40,     20.250,    0.22,12209.94, 602.96,     20.250,    0.44,12336.27, 609.20,     10.125,    4.47,  607.58,  60.01,     40.500,    0.22,24411.11, 602.74,    20.250,    0.59, 4595.76, 226.95
           48,     24.250,    0.22,14613.91, 602.64,     24.250,    0.44,14769.08, 609.03,     12.125,    5.35,  608.09,  50.15,     48.500,    0.22,29201.59, 602.09,    24.250,    0.70, 4647.86, 191.66
           56,     28.250,    0.23,16574.87, 586.72,     28.250,    0.44,17186.46, 608.37,     14.125,    6.23,  608.56,  43.08,     56.500,    0.23,32374.34, 573.00,    28.250,    0.81, 4682.94, 165.77
           64,     32.250,    0.25,17073.83, 529.42,     32.250,    0.46,18623.87, 577.48,     16.125,    7.11,  608.96,  37.77,     64.500,    0.26,33440.63, 518.46,    32.250,    0.91, 4751.02, 147.32
           80,     40.250,    0.31,17675.37, 439.14,     40.250,    0.58,18778.86, 466.56,     20.125,    8.87,  609.39,  30.28,     80.500,    0.32,33542.24, 416.67,    40.250,    1.13, 4772.36, 118.57
           96,     48.250,    0.36,18063.32, 374.37,     48.250,    0.69,18797.32, 389.58,     24.125,   10.63,  609.40,  25.26,     96.500,    0.36,35779.33, 370.77,    48.250,    1.36, 4777.82,  99.02
          128,     64.250,    0.46,18768.09, 292.11,     64.250,    0.91,19031.50, 296.21,     32.125,   14.14,  609.91,  18.99,    128.500,    0.46,37109.75, 288.79,    64.250,    1.80, 4787.46,  74.51
          256,    128.250,    0.90,19053.35, 148.56,    128.250,    1.79,19244.64, 150.06,     64.125,   28.16,  611.23,   9.53,    256.500,    0.91,37977.22, 148.06,   128.250,    3.55, 4851.08,  37.83
          512,    256.250,    1.83,18772.15,  73.26,    256.250,    3.57,19268.97,  75.20,    128.125,   55.89,  615.35,   4.80,    512.500,    1.79,38523.26,  75.17,   256.250,    7.23, 4759.35,  18.57
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

